LQFP64,WLCSP64,LQFP100,LQFP144,LQFP176,UFBGA176,Name,Type,IO,Alternate,Additional
-,-,-,-,46,J4,PH5,I/O,FT,I2C2_SDA/EVENTOUT,-
17,G7,26,37,47,R2,PA3,I/O,FT,USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/OTG_HS_ULPI_D0/ETH_MII_COL/EVENTOUT,ADC123_IN3
18,F1,27,38,48,-,VSS,S,-,-,-
-,H7,-,-,-,L4,REGOFF,I/O,-,-,-
19,E1,28,39,49,K4,VDD,S,-,-,-
20,J8,29,40,50,N4,PA4,I/O,TTa,SPI1_NSS/SPI3_NSS/USART2_CK/DCMI_HSYNC/OTG_HS_SOF/I2S3_WS/EVENTOUT,ADC12_IN4/DAC_OUT1
21,H6,30,41,51,P4,PA5,I/O,TTa,SPI1_SCK/OTG_HS_ULPI_CK/TIM2_CH1_ETR/TIM8_CH1N/EVENTOUT,ADC12_IN5/DAC_OUT2
22,H5,31,42,52,P3,PA6,I/O,FT,SPI1_MISO/TIM8_BKIN/TIM13_CH1/DCMI_PIXCLK/TIM3_CH1/TIM1_BKIN/EVENTOUT,ADC12_IN6
23,J7,32,43,53,R3,PA7,I/O,FT,SPI1_MOSI/TIM8_CH1N/TIM14_CH1/TIM3_CH2/ETH_MII_RX_DV/TIM1_CH1N/ETH_RMII_CRS_DV/EVENTOUT,ADC12_IN7
24,H4,33,44,54,N5,PC4,I/O,FT,ETH_RMII_RXD0/ETH_MII_RXD0/EVENTOUT,ADC12_IN14
25,G3,34,45,55,P5,PC5,I/O,FT,ETH_RMII_RXD1/ETH_MII_RXD1/EVENTOUT,ADC12_IN15
26,J6,35,46,56,R5,PB0,I/O,FT,TIM3_CH3/TIM8_CH2N/OTG_HS_ULPI_D1/ETH_MII_RXD2/TIM1_CH2N/EVENTOUT,ADC12_IN8
27,J5,36,47,57,R4,PB1,I/O,FT,TIM3_CH4/TIM8_CH3N/OTG_HS_ULPI_D2/ETH_MII_RXD3/TIM1_CH3N/EVENTOUT,ADC12_IN9
28,J4,37,48,58,M6,PB2-BOOT1(PB2),I/O,FT,EVENTOUT,-
-,-,-,49,59,R6,PF11,I/O,FT,DCMI_D12/EVENTOUT,-
-,-,-,50,60,P6,PF12,I/O,FT,FSMC_A6/EVENTOUT,-
-,-,-,51,61,M8,VSS,S,-,-,-
-,-,-,52,62,N8,VDD,S,-,-,-
-,-,-,53,63,N6,PF13,I/O,FT,FSMC_A7/EVENTOUT,-
-,-,-,54,64,R7,PF14,I/O,FT,FSMC_A8/EVENTOUT,-
-,-,-,55,65,P7,PF15,I/O,FT,FSMC_A9/EVENTOUT,-
-,-,-,56,66,N7,PG0,I/O,FT,FSMC_A10/EVENTOUT,-
-,-,-,57,67,M7,PG1,I/O,FT,FSMC_A11/EVENTOUT,-
-,-,38,58,68,R8,PE7,I/O,FT,FSMC_D4/TIM1_ETR/EVENTOUT,-
-,-,39,59,69,P8,PE8,I/O,FT,FSMC_D5/TIM1_CH1N/EVENTOUT,-
-,-,40,60,70,P9,PE9,I/O,FT,FSMC_D6/TIM1_CH1/EVENTOUT,-
-,-,-,61,71,M9,VSS,S,-,-,-
-,-,-,62,72,N9,VDD,S,-,-,-
-,-,41,63,73,R9,PE10,I/O,FT,FSMC_D7/TIM1_CH2N/EVENTOUT,-
-,-,42,64,74,P10,PE11,I/O,FT,FSMC_D8/TIM1_CH2/EVENTOUT,-
-,-,43,65,75,R10,PE12,I/O,FT,FSMC_D9/TIM1_CH3N/EVENTOUT,-
-,-,44,66,76,N11,PE13,I/O,FT,FSMC_D10/TIM1_CH3/EVENTOUT,-
-,-,45,67,77,P11,PE14,I/O,FT,FSMC_D11/TIM1_CH4/EVENTOUT,-
-,-,46,68,78,R11,PE15,I/O,FT,FSMC_D12/TIM1_BKIN/EVENTOUT,-
29,H3,47,69,79,R12,PB10,I/O,FT,SPI2_SCK/I2S2_SCK/I2C2_SCL/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/TIM2_CH3/EVENTOUT,-
30,-,48,70,80,R13,PB11,I/O,FT,I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_RMII_TX_EN/ETH_MII_TX_EN/TIM2_CH4/EVENTOUT,-
31,J2,49,71,81,M10,VCAP_1,S,-,-,-
32,J3,50,72,82,N10,VDD,S,-,-,-
-,-,-,-,83,M11,PH6,I/O,FT,I2C2_SMBA/TIM12_CH1/ETH_MII_RXD2/EVENTOUT,-
-,-,-,-,84,N12,PH7,I/O,FT,I2C3_SCL/ETH_MII_RXD3/EVENTOUT,-
-,-,-,-,85,M12,PH8,I/O,FT,I2C3_SDA/DCMI_HSYNC/EVENTOUT,-
-,-,-,-,86,M13,PH9,I/O,FT,I2C3_SMBA/TIM12_CH2/DCMI_D0/EVENTOUT,-
-,-,-,-,87,L13,PH10,I/O,FT,TIM5_CH1/DCMI_D1/EVENTOUT,-
-,-,-,-,88,L12,PH11,I/O,FT,TIM5_CH2/DCMI_D2/EVENTOUT,-
-,-,-,-,89,K12,PH12,I/O,FT,TIM5_CH3/DCMI_D3/EVENTOUT,-
-,-,-,-,90,H12,VSS,S,-,-,-
-,-,-,-,91,J12,VDD,S,-,-,-
33,J1,51,73,92,P12,PB12,I/O,FT,SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/CAN2_RX/OTG_HS_ULPI_D5/ETH_RMII_TXD0/ETH_MII_TXD0/OTG_HS_ID/EVENTOUT,-
34,H2,52,74,93,P13,PB13,I/O,FT,SPI2_SCK/I2S2_SCK/USART3_CTS/TIM1_CH1N/CAN2_TX/OTG_HS_ULPI_D6/ETH_RMII_TXD1/ETH_MII_TXD1/EVENTOUT,OTG_HS_VBUS
35,H1,53,75,94,R14,PB14,I/O,FT,SPI2_MISO/TIM1_CH2N/TIM12_CH1/OTG_HS_DM/USART3_RTS/TIM8_CH2N/EVENTOUT,-
36,G1,54,76,95,R15,PB15,I/O,FT,SPI2_MOSI/I2S2_SD/TIM1_CH3N/TIM8_CH3N/TIM12_CH2/OTG_HS_DP/RTC_50Hz/EVENTOUT,-
-,-,55,77,96,P15,PD8,I/O,FT,FSMC_D13/USART3_TX/EVENTOUT,-
-,-,56,78,97,P14,PD9,I/O,FT,FSMC_D14/USART3_RX/EVENTOUT,-
-,-,57,79,98,N15,PD10,I/O,FT,FSMC_D15/USART3_CK/EVENTOUT,-
-,-,58,80,99,N14,PD11,I/O,FT,FSMC_A16/USART3_CTS/EVENTOUT,-
-,-,59,81,100,N13,PD12,I/O,FT,FSMC_A17/TIM4_CH1/USART3_RTS/EVENTOUT,-
-,-,60,82,101,M15,PD13,I/O,FT,FSMC_A18/TIM4_CH2/EVENTOUT,-
-,-,-,83,102,-,VSS,S,-,-,-
-,-,-,84,103,J13,VDD,S,-,-,-
-,-,61,85,104,M14,PD14,I/O,FT,FSMC_D0/TIM4_CH3/EVENTOUT,-
-,-,62,86,105,L14,PD15,I/O,FT,FSMC_D1/TIM4_CH4/EVENTOUT,-
-,-,-,87,106,L15,PG2,I/O,FT,FSMC_A12/EVENTOUT,-
-,-,-,88,107,K15,PG3,I/O,FT,FSMC_A13/EVENTOUT,-
-,-,-,89,108,K14,PG4,I/O,FT,FSMC_A14/EVENTOUT,-
-,-,-,90,109,K13,PG5,I/O,FT,FSMC_A15/EVENTOUT,-
-,-,-,91,110,J15,PG6,I/O,FT,FSMC_INT2/EVENTOUT,-
-,-,-,92,111,J14,PG7,I/O,FT,FSMC_INT3/USART6_CK/EVENTOUT,-
-,-,-,93,112,H14,PG8,I/O,FT,USART6_RTS/ETH_PPS_OUT/EVENTOUT,-
-,-,-,94,113,G12,VSS,S,-,-,-
-,-,-,95,114,H13,VDD,S,-,-,-
37,G2,63,96,115,H15,PC6,I/O,FT,I2S2_MCK/TIM8_CH1/SDIO_D6/USART6_TX/DCMI_D0/TIM3_CH1/EVENTOUT,-
38,F2,64,97,116,G15,PC7,I/O,FT,I2S3_MCK/TIM8_CH2/SDIO_D7/USART6_RX/DCMI_D1/TIM3_CH2/EVENTOUT,-
39,F3,65,98,117,G14,PC8,I/O,FT,TIM8_CH3/SDIO_D0/TIM3_CH3/USART6_CK/DCMI_D2/EVENTOUT,-
40,D1,66,99,118,F14,PC9,I/O,FT,I2S_CKIN/I2S3_CKIN/MCO_2/TIM8_CH4/SDIO_D1/I2C3_SDA/DCMI_D3/TIM3_CH4/EVENTOUT,-
41,E2,67,100,119,F15,PA8,I/O,FT,MCO_1/USART1_CK/TIM1_CH1/I2C3_SCL/OTG_FS_SOF/EVENTOUT,-
42,E3,68,101,120,E15,PA9,I/O,FT,USART1_TX/TIM1_CH2/I2C3_SMBA/DCMI_D0/EVENTOUT,OTG_FS_VBUS
43,D3,69,102,121,D15,PA10,I/O,FT,USART1_RX/TIM1_CH3/OTG_FS_ID/DCMI_D1/EVENTOUT,-
44,D2,70,103,122,C15,PA11,I/O,FT,USART1_CTS/CAN1_RX/TIM1_CH4/OTG_FS_DM/EVENTOUT,-
45,C1,71,104,123,B15,PA12,I/O,FT,USART1_RTS/CAN1_TX/TIM1_ETR/OTG_FS_DP/EVENTOUT,-
46,B2,72,105,124,A15,PA13(JTMS-SWDIO),I/O,FT,JTMS-SWDIO/EVENTOUT,-
47,C2,73,106,125,F14,VCAP_2,S,-,-,-
-,B1,74,107,126,F12,VSS,S,-,-,-
48,A8,75,108,127,G13,VDD,S,-,-,-
-,-,-,-,128,E12,PH13,I/O,FT,TIM8_CH1N/CAN1_TX/EVENTOUT,-
-,-,-,-,129,E13,PH14,I/O,FT,TIM8_CH2N/DCMI_D4/EVENTOUT,-
-,-,-,-,130,D13,PH15,I/O,FT,TIM8_CH3N/DCMI_D11/EVENTOUT,-
-,-,-,-,131,E14,PI0,I/O,FT,TIM5_CH4/SPI2_NSS/I2S2_WS/DCMI_D13/EVENTOUT,-
-,-,-,-,132,D14,PI1,I/O,FT,SPI2_SCK/I2S2_SCK/DCMI_D8/EVENTOUT,-
-,-,-,-,133,C14,PI2,I/O,FT,TIM8_CH4/SPI2_MISO/DCMI_D9/EVENTOUT,-
-,-,-,-,134,C13,PI3,I/O,FT,TIM8_ETR/SPI2_MOSI/I2S2_SD/DCMI_D10/EVENTOUT,-
-,-,-,-,135,D9,VSS,S,-,-,-
-,-,-,-,136,C9,VDD,S,-,-,-
49,A1,76,109,137,A14,PA14(JTCK-SWCLK),I/O,FT,JTCK-SWCLK/EVENTOUT,-
50,A2,77,110,138,A13,PA15(JTDI),I/O,FT,JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1_ETR/SPI1_NSS/EVENTOUT,-
51,B3,78,111,139,B14,PC10,I/O,FT,SPI3_SCK/I2S3_SCK/UART4_TX/SDIO_D2/DCMI_D8/USART3_TX/EVENTOUT,-
52,C3,79,112,140,B13,PC11,I/O,FT,UART4_RX/SPI3_MISO/SDIO_D3/DCMI_D4/USART3_RX/EVENTOUT,-
53,A3,80,113,141,A12,PC12,I/O,FT,UART5_TX/SDIO_CK/DCMI_D9/SPI3_MOSI/I2S3_SD/USART3_CK/EVENTOUT,-
-,-,81,114,142,B12,PD0,I/O,FT,FSMC_D2/CAN1_RX/EVENTOUT,-
-,-,82,115,143,C12,PD1,I/O,FT,FSMC_D3/CAN1_TX/EVENTOUT,-
54,C7,83,116,144,D12,PD2,I/O,FT,TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11/EVENTOUT,-
-,-,84,117,145,D11,PD3,I/O,FT,FSMC_CLK/USART2_CTS/EVENTOUT,-
-,-,85,118,146,D10,PD4,I/O,FT,FSMC_NOE/USART2_RTS/EVENTOUT,-
-,-,86,119,147,C11,PD5,I/O,FT,FSMC_NWE/USART2_TX/EVENTOUT,-
-,-,-,120,148,D8,VSS,S,-,-,-
-,-,-,121,149,C8,VDD,S,-,-,-
-,-,87,122,150,B11,PD6,I/O,FT,FSMC_NWAIT/USART2_RX/EVENTOUT,-
-,-,88,123,151,A11,PD7,I/O,FT,FSMC_NE1/FSMC_NCE2/USART2_CK/EVENTOUT,-
-,-,-,124,152,C10,PG9,I/O,FT,USART6_RX/FSMC_NE2/FSMC_NCE3/EVENTOUT,-
-,-,-,125,153,B10,PG10,I/O,FT,FSMC_NCE4_1/FSMC_NE3/EVENTOUT,-
-,-,-,126,154,B9,PG11,I/O,FT,FSMC_NCE4_2/ETH_MII_TX_EN/ETH _RMII_TX_EN/EVENTOUT,-
-,-,-,127,155,B8,PG12,I/O,FT,FSMC_NE4/USART6_RTS/EVENTOUT,-
-,-,-,128,156,A8,PG13,I/O,FT,FSMC_A24/USART6_CTS/ETH_MII_TXD0/ETH_RMII_TXD0/EVENTOUT,-
-,-,-,129,157,A7,PG14,I/O,FT,FSMC_A25/USART6_TX/ETH_MII_TXD1/ETH_RMII_TXD1/EVENTOUT,-
-,-,-,130,158,D7,VSS,S,-,-,-
-,-,-,131,159,C7,VDD,S,-,-,-
-,-,-,132,160,B7,PG15,I/O,FT,USART6_CTS/DCMI_D13/EVENTOUT,-
55,A4,89,133,161,A10,PB3(JTDO-TRACESWO),I/O,FT,JTDO-SWO/SPI3_SCK/I2S3_SCK/TIM2_CH2/SPI1_SCK/EVENTOUT,-
56,B4,90,134,162,A9,PB4(NJTRST),I/O,FT,NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/EVENTOUT,-
57,A5,91,135,163,A6,PB5,I/O,FT,I2C1_SMBA/CAN2_RX/OTG_HS_ULPI_D7/ETH_PPS_OUT/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/DCMI_D10/I2S3_SD/EVENTOUT,-
58,B5,92,136,164,B6,PB6,I/O,FT,I2C1_SCL/TIM4_CH1/CAN2_TX/DCMI_D5/USART1_TX/EVENTOUT,-
59,A6,93,137,165,B5,PB7,I/O,FT,I2C1_SDA/FSMC_NL/DCMI_VSYNC/USART1_RX/TIM4_CH2/EVENTOUT,-
60,B6,94,138,166,D6,BOOT0,I,B,-,VPP
61,B7,95,139,167,A5,PB8,I/O,FT,TIM4_CH3/SDIO_D4/TIM10_CH1/DCMI_D6/ETH_MII_TXD3/I2C1_SCL/CAN1_RX/EVENTOUT,-
62,A7,96,140,168,B4,PB9,I/O,FT,SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/DCMI_D7/I2C1_SDA/CAN1_TX/EVENTOUT,-
-,-,97,141,169,A4,PE0,I/O,FT,TIM4_ETR/FSMC_NBL0/DCMI_D2/EVENTOUT,-
-,-,98,142,170,A3,PE1,I/O,FT,FSMC_NBL1/DCMI_D3/EVENTOUT,-
-,-,-,-,-,D5,VSS,S,-,-,-
63,D8,-,-,-,-,VSS,S,-,-,-
-,-,99,143,171,C6,RFU,-,-,-,-
64,D9,100,144,172,C5,VDD,S,-,-,-
-,-,-,-,173,D4,PI4,I/O,FT,TIM8_BKIN/DCMI_D5/EVENTOUT,-
-,-,-,-,174,C4,PI5,I/O,FT,TIM8_CH1/DCMI_VSYNC/EVENTOUT,-
-,-,-,-,175,C3,PI6,I/O,FT,TIM8_CH2/DCMI_D6/EVENTOUT,-
-,-,-,-,176,C2,PI7,I/O,FT,TIM8_CH3/DCMI_D7/EVENTOUT,-
-,C8,-,-,-,-,IRROFF,I/O,-,-,-
